Sample,Site,Sodium,Oxygen,Magnesium,Potassium,Calcium,Titanium,Iron,Aluminium,Silicon,Lead,Manganese,Chlorine,Silver,Gold,Barium,Strontium,Copper,Nickel,Sulfur,Phosphorus,Rhodium,Tin,Chromium,Arsenic,Zinc
EB017,Kilwa,0.17545145399999998,1.6e-06,1.718946271,0.929188363,5.771759795,0.278427023,62.93675739,5.281422256,20.27836618,0.006341795,0.711480349,0.0,0.0,0.00506544,0.0,0.060374208,0.006947347,0.0,0.099720496,1.7397500380000002,0,0.0,0.0,0.0,0.0
EB017,Kilwa,0.0,-1.94e-06,1.236599393,0.675123127,4.405158662,0.257742959,67.06409708,4.881188883,19.00875537,0.004792427,0.5750985989999999,0.0,0.0,0.01644339,0.0,0.040378205,0.008072303000000001,0.000833729,0.037941685,1.787776129,0,0.0,0.0,0.0,0.0
EB017,Kilwa,0.0,-1.01e-07,1.7548630280000002,1.094163755,6.8184164560000005,0.32579982,59.01220226,5.6142413389999986,22.43399893,0.0035020790000000004,0.7832478629999999,0.0,0.0,0.009824685,0.0,0.060077735,0.0014756670000000002,0.0,0.09002894,1.998157551,0,0.0,0.0,0.0,0.0
EB017,Kilwa,0.0,-5.5e-07,1.682543999,1.038854079,6.484483762999999,0.299841801,60.28120315,5.4929981,21.84368244,0.008377072,0.74656328,0.0,0.0,0.01403504,0.0,0.06404468599999999,0.000182582,0.0,0.051973672,1.991216877,0,0.0,0.0,0.0,0.0
EB017,Kilwa,0.0,1.93e-06,1.455483794,0.916250979,5.896638442,0.327492657,61.51922107,5.349856652,21.62149271,0.005932036,0.72996747,0.0,0.0,0.00825743,0.0,0.04855073,0.010432721,0.0,0.051688793,2.05873259,0,0.0,0.0,0.0,0.0
EB017,Kilwa,0.015450261000000003,-2.05e-06,1.222550341,0.571154692,3.652218419,0.234906243,75.66219742,3.618218061,13.29367728,0.004691765,0.591724868,0.0,0.0,0.013622783,0.0,0.039342566,0.005853449,0.0,0.019131705,1.0552622,0,0.0,0.0,0.0,0.0
EB017,Kilwa,0.13677629,1.15e-06,1.565041981,0.7613606279999999,5.118477485,0.328336834,61.13647105,5.715759029,22.35701759,0.008639934,0.648095634,0.0,0.0,0.0,0.0,0.04303919,0.007666781,0.0,0.06447190900000001,2.108844518,0,0.0,0.0,0.0,0.0
EB017,Kilwa,0.266847858,-9.7e-07,1.7192702380000002,1.223273175,7.224028547,0.304657191,57.13149236,5.743974675,23.0033178,0.02213103,0.771206677,0.0,0.0,0.017457868999999997,0.013663215,0.067140745,0.006654635,0.0,0.073114592,2.408094731,0,0.003675627,0.0,0.0,0.0
EB017,Kilwa,0.315884009,1.81e-06,1.780923095,0.814964015,5.10369064,0.318594084,66.60227634,4.648794912,18.01500463,0.012615685,0.697844727,0.0,0.0,0.017090745,0.0,0.054355656,0.0008439089999999999,0.0,0.06826275700000001,1.548852972,0,0.0,0.0,0.0,0.0
EB018,Kilwa,0.6489596879999999,-7.23e-07,1.836810774,1.147089299,8.192221307,0.375267232,53.24355887,6.783098454,22.79008557,0.005860393,0.965364221,0.002469589,0.0,0.015110388999999997,0.038721663,0.066741304,0.012181169,0.0,0.102996712,3.745084381,0,0.0,0.024675357,0.002391949,0.001312402
